,对话编号,私信位置,应答,错最多次相应的应答,是否相同,问题类型,仅含车型信息,是否问句,是否首句,车型,车型配置,门店地址,留联系方式,新车,二手车,求联系,车型_陈述,该句车型,是否留过联系方式,上牌_问句,落地价_问句,裸车价_问句,优惠_问句,现车_问句,贷款_问句,非九大类问句,非九大类问句_首句,非九大类问句_首句_车型,分词结果,具体车型,Y,Ys,Z
26,12,2,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['最低', '配置', '和', '最高', '配置', '分别', '多少', '？']",Q5L,6,6,1
27,12,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['1234567890'],Q5L,1,1,1
28,13,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['拉', '我', '进', '粉丝', '群']",空,2,2,1
29,13,2,哪个配置？,哪个配置？,相同,现车问题,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['21A6', '现在', '有', '现车', '？']",A6,4,4,1
30,13,3,省内可以/外省不行。,【店里统一分配顾问】,不同,non,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['异地', '可以', '上牌', '嘛', '？']",A6,5,8,0
31,13,4,目前优惠XX个点。,目前优惠XX个点。,相同,优惠问题,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"['Q540', '时尚', '动感', '最', '多', '优惠', '多少', '？']",Q5,9,9,1
32,13,5,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['提车', '需', '等', '多久']",Q5,6,6,1
33,13,6,省内可以/外省不行。,省内可以/外省不行。,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['上', '牌', '？']",Q5,8,8,1
34,13,7,【空】,【留资】,不同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['奥迪', '因', '芯片', '问题', '准备', '停产', '是', '真假', '？']",Q5,6,7,0
35,13,8,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['13324567890'],Q5,1,1,1
36,14,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A8', '入门级', '什么']",A8,0,0,1
37,14,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['17380983578'],A8,1,1,1
38,15,1,有的/目前没有，但是很快就到/我们店没这款车。,【留资】,不同,non,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,"['Q5L', '有试', '驾车', '卖', '吗', '?']",Q5L,6,10,0
39,15,2,【空】,【空】,相同,non,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['我', '就', '问问']",Q5L,7,7,1
40,16,1,哪个配置？,哪个配置？,相同,落地价问题,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A6L', '现在', '多少', '钱']",A6,4,4,1
41,16,2,【留资】,【留资】,相同,non,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['你', '介绍', '一下', '配置', '呗']",A6,6,6,1
42,16,3,落地XX万左右。,落地XX万左右。,相同,落地价问题,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['高配'],A6,0,0,1
43,17,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['奥迪', 'Q5', '多少', '钱']",Q5,3,3,1
44,17,2,哪个配置？,哪个配置？,相同,落地价问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['新车'],Q5,4,4,1
45,18,1,【留资】,您想咨询哪款车型？,不同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['想', '家用', '一点', '有', '推荐', '吗']",空,2,6,0
46,18,2,【留资】,【留资】,相同,non,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['有', '对接', '人', '吗', '想', '咨询', '一下', '哪', '比较', '适合', '我', '情况']",空,6,6,1
47,18,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['12222222222'],空,1,1,1
48,19,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,落地价问题,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['40', '时尚', '多少', '钱', '？']",空,2,2,1
49,20,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,落地价问题,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"['等', '多久', '提车', '啊']",空,2,2,1
50,20,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['15181538876'],空,1,1,1
51,21,1,有的/目前没有，但是很快就到/我们店没这款车。,【留资】,不同,non,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"['请问', '店内', '现在', '有', '白色', '45', '甄选', 'A7', '吗']",A7,6,10,0
52,21,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['SHRILLY', '_', 'CC', '微', '信号']",A7,1,1,1
53,22,1,【店里统一分配顾问】,【店里统一分配顾问】,相同,non,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"['如何', '添加', '销售', '顾问', '微信']",空,5,5,1
54,22,2,【空】,您想咨询哪款车型？,不同,non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['随便'],空,2,7,0
55,23,1,您想咨询哪款车型？,落地XX万左右。,不同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['现在', 'A']",空,0,2,0
56,23,2,哪个配置？,哪个配置？,相同,落地价问题,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['现在', 'A6', '价位', '是', '多少']",A6,4,4,1
57,23,3,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A645', '四驱', '落地']",A6,0,0,1
58,23,4,落地XX万左右。,新车还是二手车？,不同,落地价问题,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A6L', '尊享', '动感', '落地', '价', '多少', '？']",A6,3,0,0
59,23,5,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['微信', '123456789']",A6,1,1,1
60,24,1,【留资】,【留资】,相同,non,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"['能', '不能', '介绍', '下', 'A6L', '配置']",A6,6,6,1
61,24,2,【留资】,【留资】,相同,non,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"['介绍', '下', 'A6L', '新车', '配置']",A6,6,6,1
62,25,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['40', '多少', '钱', 'A6']",A6,3,3,1
63,25,2,落地XX万左右。,落地XX万左右。,相同,落地价问题,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['新车'],A6,0,0,1
64,25,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['15806665345'],A6,1,1,1
65,26,1,新车还是二手车？,新车还是二手车？,相同,现车问题,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['您好', '想', '问', '一下', 'RS6', '灰色', '有', '吗']",RS6,3,3,1
66,26,2,哪个配置？,哪个配置？,相同,现车问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['新车'],RS6,4,4,1
67,27,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['今天', '直播', '销售']",空,2,2,1
68,27,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,"['想', '购买', '奥迪', 'Q318260093137', '希望', '有', '导购', '联系', '我']",Q3,1,1,1
69,28,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A3L', '怎么', '卖']",A3L,3,3,1
70,28,2,哪个配置？,哪个配置？,相同,落地价问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['新车'],A3L,4,4,1
71,29,1,有的/目前没有，但是很快就到/我们店没这款车。,有的/目前没有，但是很快就到/我们店没这款车。,相同,现车问题,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"['17', '年', '左右', 'Q7', '有', '吗', '？', '2.0']",Q7,10,10,1
72,30,1,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['位置', '给', '我', '15711338139']",空,1,1,1
73,31,1,新车还是二手车？,新车还是二手车？,相同,裸车价问题,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,"['Q540', '裸车', '多少', '？']",Q5,3,3,1
74,31,2,裸车XX万左右。,裸车XX万左右。,相同,裸车价问题,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,['新车'],Q5,11,11,1
75,32,1,您想咨询哪款车型？,省内可以/外省不行。,不同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['有人', '吗']",空,8,2,0
76,32,2,【留资】,【留资】,相同,non,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,"['我', '看', '二手', 'Q5']",Q5,6,6,1
77,33,1,【留资】,【留资】,相同,non,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"['Q522', '上市', '了', '吗']",Q5,6,6,1
78,33,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['WEIXIN', '_', '123456']",Q5,1,1,1
79,34,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"['A440', '时尚', '落地', '多少', '？', '优惠', '多少', '现在']",A4,0,0,1
80,34,2,落地XX万左右。,【留资】,不同,non,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['40', '豪华']",A4,6,0,0
81,34,3,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['售', '全国', '？']",A4,6,6,1
82,34,4,【空】,【空】,相同,non,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['看看', '美女']",A4,7,7,1
83,34,5,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['18764568907'],A4,1,1,1
84,35,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['Q5L', '豪华', '落地', '价', '多少']",Q5L,0,0,1
85,35,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['17611235723'],Q5L,1,1,1
86,36,1,【_店地址】,【_店地址】,相同,non,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['黄冈', '有', '门店', '吗', '想', '去', '现场', '试一下', '车']",空,12,12,1
87,36,2,新车还是二手车？,新车还是二手车？,相同,落地价问题,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,['Q5'],Q5,3,3,1
88,36,3,【空】,【空】,相同,non,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"['二手', '我', '还', '在', '读研', '资金', '一般般']",Q5,7,7,1
89,37,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['Q7', '最低', '配', '68', '万能', '落地', '吗']",Q7,0,0,1
90,37,2,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['有没有', '粉丝', '群']",Q7,6,6,1
91,38,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['你好'],空,2,2,1
92,38,2,【留资】,【留资】,相同,non,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['我', '想', '请问', '一下', '我', '现在', '有', '一辆', '你们', '家车', '可以', '置换', '吗']",空,6,6,1
93,38,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['111111111111111111'],空,1,1,1
94,39,1,您想咨询哪款车型？,省内可以/外省不行。,不同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['你好'],空,8,2,0
95,39,2,【_店地址】,【_店地址】,相同,non,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['你们', '线下', '门店', '什么', '位置', '？']",空,12,12,1
96,39,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['18299990000'],空,1,1,1
97,40,1,有的/目前没有，但是很快就到/我们店没这款车。,有的/目前没有，但是很快就到/我们店没这款车。,相同,现车问题,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,"['三年', '内', '奥迪', 'A6', '二手车', '有', '吗']",A6,10,10,1
98,40,2,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"['我', '想', '了解', '下', '奥迪', 'A645', '低配']",A6,0,0,1
99,40,3,哪个配置？,哪个配置？,相同,落地价问题,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['想', '问下', '现在', 'A4', '落地', '什么', '价位']",A4,4,4,1
100,41,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['还有', 'RS7', '啥']",RS7,3,3,1
101,41,2,哪个配置？,哪个配置？,相同,落地价问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['新车'],RS7,4,4,1
102,42,1,收到，尽快联系您！,有的/目前没有，但是很快就到/我们店没这款车。,不同,non,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['18396821117'],空,10,1,0
103,42,2,【空】,【空】,相同,non,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['给', '你', '留', '联系方式', '了', '也', '没', '人理', '我', '啊']",空,7,7,1
104,43,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['A'],空,2,2,1
105,43,2,新车还是二手车？,新车还是二手车？,相同,现车问题,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['A4', '有车', '吗']",A4,3,3,1
106,43,3,哪个配置？,哪个配置？,相同,现车问题,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['新车'],A4,4,4,1
107,44,1,有的/目前没有，但是很快就到/我们店没这款车。,有的/目前没有，但是很快就到/我们店没这款车。,相同,现车问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"['A645', '动感', '天云灰有', '吗']",A6,10,10,1
108,44,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['15831952266', '微信', '同号']",A6,1,1,1
109,45,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A5', '时尚', '和', '豪华', '落地', '分别', '多少', '？']",A5,0,0,1
110,45,2,【空】,【留资】,不同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['？', '？', '？']",A5,6,7,0
111,46,1,目前优惠XX个点。,目前优惠XX个点。,相同,优惠问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"['您好', 'A6', '豪华', '动感', '40', '优惠', '下来', '多少', '钱', '？', '能', '给', '打', '几折']",A6,9,9,1
112,46,2,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['18752042825'],A6,1,1,1
113,47,1,您想咨询哪款车型？,您想咨询哪款车型？,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"['有车', '吗']",空,2,2,1
114,47,2,新车还是二手车？,新车还是二手车？,相同,落地价问题,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,['A7'],A7,3,3,1
115,48,1,省内可以/外省不行。,省内可以/外省不行。,相同,non,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"['异地', '可以', '上', '牌照', '吗', '？']",空,8,8,1
116,48,2,落地XX万左右。,落地XX万左右。,相同,落地价问题,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['Q5', '低配']",Q5,0,0,1
117,48,3,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"['微信', '18888888888']",Q5,1,1,1
118,49,1,新车还是二手车？,新车还是二手车？,相同,落地价问题,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,['A6'],A6,3,3,1
119,50,1,哪个配置？,哪个配置？,相同,贷款问题,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"['A4L', '新车', '首保', '可以', '免费', '吗']",A4,4,4,1
120,50,2,【留资】,【留资】,相同,贷款问题,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['豪华'],A4,6,6,1
121,51,1,【空】,【留资】,不同,non,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"['听说', 'A6L', '将', '停产', '了', '真假', '？']",A6,6,7,0
122,52,1,收到，尽快联系您！,收到，尽快联系您！,相同,non,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['98765432123'],空,1,1,1
123,53,1,目前优惠XX个点。,目前优惠XX个点。,相同,优惠问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"['Q755', '运动', '优惠', '完', '多少', '钱', '？', '挂', '临沂', '牌', '个人', '户', '可以', '卖', '吗', '？']",Q7,9,9,1
124,53,2,落地XX万左右。,省内可以/外省不行。,不同,落地价问题,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A645', '四驱', '落地', '多少', '啊']",A6,8,0,0
125,54,1,落地XX万左右。,目前优惠XX个点。,不同,落地价问题,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,"['A6', '二手', '多少', '钱']",A6,9,0,0
126,55,1,落地XX万左右。,落地XX万左右。,相同,落地价问题,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"['奥迪', 'A6L40', '豪华', '落地', '多少', '！', '首付', '多少', '？', '我', '计划', '贷', '20', '万', '三年', '月', '供', '多少', '？']",A6,0,0,1
127,55,2,【留资】,【留资】,相同,贷款问题,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"['首付', '多少']",A6,6,6,1
128,55,3,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['多久', '能', '帮', '我', '问到', '我', '等', '很', '久', '了']",A6,6,6,1
129,55,4,【留资】,【留资】,相同,non,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"['问到', '了', '可以', '回复', '一下', '我', '吗']",A6,6,6,1
130,55,5,【空】,【空】,相同,non,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['你们', '这个', '系统', '真', '垃圾']",A6,7,7,1
131,55,6,【空】,【空】,相同,non,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['再见'],A6,7,7,1
